device is cuda:0
Files already downloaded and verified
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    initial_lr: 0.0005
    lr: 0.0005
    maximize: False
    momentum: 0.9
    nesterov: False
    weight_decay: 0
)
Epoch 1/100 - Train Loss: 2.2976, Test Loss: 2.2975
Epoch 2/100 - Train Loss: 2.3025, Test Loss: 2.3025
Epoch 3/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 4/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 5/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 6/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 7/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 8/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 9/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 10/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 11/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 12/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 13/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 14/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 15/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 16/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 17/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 18/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 19/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 20/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 21/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 22/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 23/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 24/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 25/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 26/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 27/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 28/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 29/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 30/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 31/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 32/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 33/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 34/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 35/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 36/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 37/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 38/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 39/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 40/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 41/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 42/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 43/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 44/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 45/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 46/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 47/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 48/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 49/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 50/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 51/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 52/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 53/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 54/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 55/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 56/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 57/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 58/100 - Train Loss: 2.3026, Test Loss: 2.3026
