runner_id,model_name,dataset_name,regularization,regularization_param,train_loss,test_loss,train_accuracy,test_accuracy,timestamp,epochs,lr,device,batch_size,seed,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb,quantization_method,pretrained,verbose,epoch_train_losses,epoch_test_losses,criterion_name,optimizer_name,num_epochs
itaishapira,lenet,MNIST,none,,0.10686220119396846,0.0937498994603753,96.865,97.22,2023-11-06_18-24-23,2.0,0.001,cpu,256,42,128576,6821.780545294285,44.29925222694874,0.3549064099788666,-0.3646840751171112,0.490478515625,,,,,,,,
alexo,lenet,MNIST,none,,0.10686219495932262,0.09374989802241325,96.865,97.22,2023-11-18_11-36-40,,0.001,cpu,256,42,252175,13333.918054163456,78.78973533213139,1.0,-0.3646840751171112,0.24785995483398438,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,none,,0.1068621946255366,0.09374989802241325,96.865,97.22,2023-11-18_11-31-00,,0.001,cpu,256,42,249627,13157.417235456407,71.08395174890757,0.4394904375076294,-0.2663366198539734,0.23814010620117188,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,batch_norm,,0.04441146742502848,0.04994284267872572,98.64833333333333,98.37,2023-11-06_18-25-02,2.0,0.001,cpu,256,42,128664,6889.207072973251,54.414420299232006,1.4895366430282593,-0.24515049159526825,0.490814208984375,,,,,,,,
alexo,lenet,MNIST,batch_norm,,0.04457137313783169,0.04861613427102566,98.62333333333333,98.4,2023-11-18_11-36-58,,0.001,cpu,256,42,252263,13489.195863485336,89.61500599235296,1.4895366430282593,-0.24611186981201172,0.24819564819335938,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,batch_norm,,0.0444114690070351,0.0499428455516696,98.64833333333333,98.37,2023-11-18_11-31-26,,0.001,cpu,256,42,249717,13367.06108764559,83.675188601017,1.4895366430282593,-0.24611186981201172,0.23848342895507812,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,layer_norm,,0.041748578780889514,0.049786833653599025,98.76166666666667,98.34,2023-11-06_18-25-41,2.0,0.001,cpu,256,42,137536,11533.751558721066,138.59238843619823,1.195296049118042,-0.41219374537467957,0.524658203125,,,,,,,,
alexo,lenet,MNIST,layer_norm,,0.04174857554609577,0.04978683435693383,98.76166666666667,98.34,2023-11-18_11-37-50,,0.001,cpu,256,42,261135,18160.91428464651,173.97764222323895,1.195296049118042,-0.41381019353866577,0.2820396423339844,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,layer_norm,,0.041748575715223946,0.04978683435693383,98.76166666666667,98.34,2023-11-18_11-32-46,,0.001,cpu,256,42,258589,18038.914715703577,167.87600700184703,1.195296049118042,-0.41381019353866577,0.2723274230957031,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,dropout,0.3,0.11146700596412024,0.10136978957355022,96.56666666666666,96.68,2023-11-06_18-26-20,2.0,0.001,cpu,256,42,128576,9273.706536769867,56.75706833600998,0.3716829717159271,-0.4041072130203247,0.490478515625,,,,,,,,
