runner_id,model_name,dataset_name,regularization,regularization_param,timestamp,quantization_method,criterion_name,optimizer_name,verbose,train_loss,test_loss,train_accuracy,test_accuracy,epoch_train_losses,epoch_test_losses,iterations,lr,device,batch_size,seed,pretrained,num_epochs,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb
ishapira,lenet,FashionMNIST,l2,0.0002,2023-11-19_15-03-30,,CrossEntropyLoss,Adam,True,0.21256586416562398,0.29054305746555326,92.16,89.49,"[0.5445979571978251, 0.4756178892612457, 0.3908861725489299, 0.36126121207873024, 0.3361450630187988, 0.32150726477305097, 0.31081320730845136, 0.2982129644870758, 0.28811981301307676, 0.26849398636023203, 0.2657845329284668, 0.2560086855649948, 0.26381490624745685, 0.24076874405543008, 0.2426384998957316, 0.23921396540006, 0.2300187018553416, 0.21789613421758017, 0.22706859740416208, 0.21256586416562398]","[0.5654205120086669, 0.49326787276268, 0.41672302141189577, 0.39091175022125246, 0.36846271181106566, 0.3561614312648773, 0.3477112181663513, 0.3408739142894745, 0.3318803342819214, 0.31318063817024233, 0.31721822113990783, 0.30840632972717286, 0.3219976098060608, 0.3032706536769867, 0.30405885360240936, 0.31233455376625063, 0.29793502271175387, 0.2925885509967804, 0.29607885303497317, 0.29054305746555326]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,1950.0730789899826,30.852724224328995,0.6771116256713867,-0.582834780216217,0.16947174072265625
ishapira,resnet18,CIFAR-10,l_infinty,0.001,2023-11-18_15-14-25,,,,,0.08228482166290284,1.608766020965576,97.286,69.38,,,,0.001,cuda:0,256,42,False,20.0,11172042,305703.54352784157,570.4744926691055,0.5386362075805664,-0.5496589541435242,42.617958068847656
itaishapira,lenet,MNIST,dropout,0.3,2023-11-07_07-23-07,,,,,0.030807194382945696,0.03234648702596314,99.07333333333334,99.03,,,,0.001,cpu,256,42,,10.0,128576,14566.277153074741,91.30332463979721,0.6065596342086792,-0.9611908197402954,0.490478515625
ishapira,resnet18,CIFAR-10,none,,2023-11-18_13-45-34,,,,,0.07689098008155823,1.5548721128463745,97.512,70.28,,,,0.001,cuda:0,256,42,False,20.0,11679912,307789.4666557312,604.619668841362,0.5943582653999329,-1.1360790729522705,44.555328369140625
ishapira,lenet,MNIST,l_infinty,0.01,2023-11-19_15-24-41,,CrossEntropyLoss,Adam,True,0.012930506441245477,0.04092483487362042,99.53333333333333,98.85,"[0.15627394468784334, 0.08294431770245234, 0.06802114845116933, 0.04935415320396423, 0.05327322353521983, 0.03588357636431853, 0.02968076592683792, 0.029822876805067063, 0.023677393342057863, 0.024715321619808675, 0.01913918522670865, 0.017574221959461768, 0.015230927389363448, 0.011961873173216979, 0.011724168827012181, 0.017166666724470755, 0.009095303621143103, 0.011049213441306105, 0.006795442104836305, 0.012930506441245477]","[0.1409383296251297, 0.07099316438958049, 0.05629950804822147, 0.04576698255427182, 0.049502171850576995, 0.03701595236174762, 0.032858395369583744, 0.037688029075041415, 0.03395082436541561, 0.03945828010118566, 0.03145906267537502, 0.031174667379970197, 0.02983567429209943, 0.02909867811727454, 0.03125709612793289, 0.03976459575172048, 0.029562749124363474, 0.03308426263456058, 0.03102753918758317, 0.04092483487362042]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,2701.288292467594,34.74766896665096,0.541990339756012,-0.47388097643852234,0.16947174072265625
itaishapira,lenet,MNIST,dropout,0.7,2023-11-07_07-28-28,,,,,0.09318686806758245,0.08264819593653083,97.35333333333334,97.56,,,,0.001,cpu,256,42,,10.0,128576,17917.905775785446,99.26778699457645,0.5666739344596863,-0.5720281600952148,0.490478515625
itaishapira,lenet,FashionMNIST,batch_norm,,2023-11-07_08-17-47,,,,,0.18468367161750793,0.2991401083469391,93.225,89.76,,,,0.001,cpu,256,42,,10.0,128664,8430.725042641163,65.08057149499655,1.2140557765960693,-0.694479763507843,0.490814208984375
ishapira,lenet,MNIST,l1,0.001,2023-11-18_18-40-04,,CrossEntropyLoss,Adam,True,0.07784860464334488,0.07323124676346779,97.61166666666666,97.68,"[0.27880276387532554, 0.17006226944128672, 0.13984875510931016, 0.14273973226149878, 0.11685490039189657, 0.10825991241137187, 0.10727693824768067, 0.10475962688128153, 0.101613860587279, 0.09328721878528595, 0.0992658926864465, 0.0866543523311615, 0.09233620018164317, 0.08624755606651306, 0.09335619865457218, 0.0910210173557202, 0.08483460804224015, 0.08470196880896887, 0.08081367122332254, 0.07784860464334488]","[0.26641718484163285, 0.15252062709927558, 0.12893406230211257, 0.12931743620634079, 0.10304665446281433, 0.1017937189385295, 0.09663057926297187, 0.0966013168424368, 0.09327937916219234, 0.08499993021339178, 0.08970586819648743, 0.07799519576728343, 0.08384191104918719, 0.07802625220865012, 0.086508990123868, 0.08528945273160934, 0.08042503170371056, 0.08221095396578312, 0.0768792164772749, 0.07323124676346779]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,193.16223943396471,16.373400460055564,0.9702510237693787,-1.0666372776031494,0.16947174072265625
ishapira,lenet,FashionMNIST,dropout,0.3,2023-11-19_13-44-15,,CrossEntropyLoss,Adam,True,0.23824197760423024,0.2795752012491226,91.335,89.86,"[0.5723217621803284, 0.467386488421758, 0.4294304908275604, 0.37538347957928975, 0.35168990912437437, 0.32905619708697004, 0.32220994300047556, 0.30249797592957817, 0.29739750946362814, 0.28558524432182314, 0.28406894850730896, 0.2751221225897471, 0.26641734267870587, 0.25832508153915407, 0.2580858404318492, 0.2536136327425639, 0.2509670487721761, 0.24945944852034252, 0.24100783134301504, 0.23824197760423024]","[0.5921452784538269, 0.4871962504386902, 0.4523266574382782, 0.39808398566246034, 0.37602164430618285, 0.3579709284543991, 0.35242984223365786, 0.33367511115074155, 0.33023021097183225, 0.3200075388669968, 0.31597862701416013, 0.30981415696144105, 0.3009528952598572, 0.2946916605472565, 0.2959793817281723, 0.29443994753360747, 0.2900762031078339, 0.2882104909658432, 0.28180771462917326, 0.2795752012491226]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,3701.159992814064,50.225750744342804,0.5671758651733398,-1.0361616611480713,0.16947174072265625
itaishapira,lenet,FashionMNIST,l1,0.01,2023-11-07_08-32-52,,,,,2.3674051342010496,2.367405160522461,10.0,10.0,,,,0.001,cpu,256,42,,10.0,128576,87.21926331642317,10.478142804757226,1.4043956995010376,-0.0006535786669701338,0.490478515625
ishapira,resnet18,CIFAR-10,l1,0.01,2023-11-18_14-13-23,,,,,2.3025853191375734,2.3025853408813477,10.0,10.0,,,,0.001,cuda:0,256,42,False,20.0,11172042,1385.3862545737065,1.8520664214156568,0.0010588668519631028,-0.001733452663756907,42.617958068847656
itaishapira,lenet,MNIST,l_infinty,0.1,2023-11-06_18-33-40,,,,,0.13788260766665142,0.1214528003513813,95.70333333333333,96.15,,,,0.001,cpu,256,42,,2.0,128576,6859.402256339788,44.64882251620293,0.41221413016319275,-0.29760226607322693,0.490478515625
