Linear 1,,,,,,,,
,Baseline,BatchNorm,"l2, 1e-5","l2, 1e-4","l2, 1e-3","l1, 1e-5","l1, 1e-4","l1, 1e-3"
32bit,38.94,41.68,40.1,40.27,40.17,40.69,39.31,38.39
4bit,36.63,39.29,37.05,37.96,38.17,38.43,38.78,36.78
2bit,22.71,--,22.5,21.88,21.65,22.1,19.16,18.82
"QAT, 8",39.74,41.36,39.56,39.15,40.19,39.79,39.63,38.31
,,,,,,,,
Linear 2,,,,,,,,
,Baseline,BatchNorm,"l2, 1e-5","l2, 1e-4","l2, 1e-3","l1, 1e-5","l1, 1e-4","l1, 1e-3"
32bit,39.35,40.96,39.31,39.9,39.11,40.43,40.28,39
4bit,37.18,39.35,37.73,37.68,37.06,37.28,39.74,36.9
2bit,21.09,--,22.42,20.17,20.79,19.93,19.93,17.45
"QAT, 8",40.54,41.36,39.22,39.9,39.28,40.08,40.69,38.46
,,,,,,,,
Linear 3,,,,,,,,
,Baseline,BatchNorm,"l2, 1e-5","l2, 1e-4","l2, 1e-3","l1, 1e-5","l1, 1e-4","l1, 1e-3"
32bit,39.08,41.82,39.27,39.44,39.13,40.19,40.56,38.11
4bit,36.48,38.92,37.43,38.05,37.9,37.94,39.18,36.44
2bit,21.77,,19.18,21.65,22.32,22.81,17.97,18.03
"QAT, 8",37.55,41.76,40.19,39.92,40.11,40.59,40.01,39
,,,,,,,,
ResNet20 1,,,,,,,,
,Baseline,BatchNorm,"l2, 1e-5","l2, 1e-4","l2, 1e-3","l1, 1e-5","l1, 1e-4","l1, 1e-3"
32bit,79.36,82.01,81.63,81.53,77.19,81.82,78.62,67.17
4bit,62.81,70.04,65.92,72.93,66.34,67.74,54.58,48.69
"QAT, 8",74.9,80.84,80.69,81.14,81.82,79.21,81.17,64
,,,,,,,,
ResNet20 2,,,,,,,,
,Baseline,BatchNorm,"l2, 1e-5","l2, 1e-4","l2, 1e-3","l1, 1e-5","l1, 1e-4","l1, 1e-3"
32bit,78.61,81.49,80.98,80.52,72.75,82.02,75.58,72.6
4bit,64.41,66.34,68.34,74.55,59.46,70.59,51.68,57.48
"QAT, 8",77.09,82.05,81.57,80.32,80.25,81.5,79.66,70.25
,,,,,,,,
ResNet20,,,,,,,,
,Baseline,BatchNorm,"l2, 1e-5","l2, 1e-4","l2, 1e-3","l1, 1e-5","l1, 1e-4","l1, 1e-3"
32bit,78.54,82.83,82.56,83.24,78.19,78.99,77.17,72.86
4bit,63.84,71.51,79.93,70.79,61.77,63.6,57.23,45.95
"QAT, 8",75.12,83.16,82.13,82.7,81.3,80.22,79.47,66.52
